#string_taxon_id	cluster_id	protein_id
9606	CL:39184	9606.ENSP00000473493
9606	CL:39184	9606.ENSP00000288228
9606	CL:39184	9606.ENSP00000344865
9606	CL:39184	9606.ENSP00000432011
9606	CL:39184	9606.ENSP00000357547
9606	CL:39184	9606.ENSP00000360824
9606	CL:39184	9606.ENSP00000490716
9606	CL:39182	9606.ENSP00000473493
9606	CL:39182	9606.ENSP00000288228
9606	CL:39182	9606.ENSP00000344865
9606	CL:39182	9606.ENSP00000350402
9606	CL:39182	9606.ENSP00000432011
9606	CL:39182	9606.ENSP00000359978
9606	CL:39182	9606.ENSP00000479884
9606	CL:39182	9606.ENSP00000432104
9606	CL:39182	9606.ENSP00000232496
9606	CL:39182	9606.ENSP00000357547
9606	CL:39182	9606.ENSP00000360824
9606	CL:39182	9606.ENSP00000493107
9606	CL:39182	9606.ENSP00000490716
9606	CL:39156	9606.ENSP00000344865
9606	CL:39156	9606.ENSP00000432104
9606	CL:39156	9606.ENSP00000340296
9606	CL:39156	9606.ENSP00000441381
9606	CL:39156	9606.ENSP00000360824
9606	CL:39156	9606.ENSP00000479884
9606	CL:39156	9606.ENSP00000340954
9606	CL:39156	9606.ENSP00000490716
9606	CL:39156	9606.ENSP00000473493
9606	CL:39156	9606.ENSP00000288228
9606	CL:39156	9606.ENSP00000430073
9606	CL:39156	9606.ENSP00000401536
9606	CL:39156	9606.ENSP00000350716
9606	CL:39156	9606.ENSP00000298569
9606	CL:39156	9606.ENSP00000387941
9606	CL:39156	9606.ENSP00000357547
9606	CL:39156	9606.ENSP00000339324
9606	CL:39156	9606.ENSP00000461425
9606	CL:39156	9606.ENSP00000493023
9606	CL:39156	9606.ENSP00000334115
9606	CL:39156	9606.ENSP00000493107
9606	CL:39156	9606.ENSP00000350402
9606	CL:39156	9606.ENSP00000432011
9606	CL:39156	9606.ENSP00000359978
9606	CL:39156	9606.ENSP00000493297
9606	CL:39156	9606.ENSP00000232496
9606	CL:34	9606.ENSP00000454786
9606	CL:34	9606.ENSP00000292303
9606	CL:34	9606.ENSP00000377797
9606	CL:34	9606.ENSP00000255039
9606	CL:34	9606.ENSP00000321388
9606	CL:34	9606.ENSP00000349147
9606	CL:34	9606.ENSP00000327694
9606	CL:34	9606.ENSP00000372112
9606	CL:34	9606.ENSP00000253458
9606	CL:34	9606.ENSP00000379709
9606	CL:34	9606.ENSP00000316809
9606	CL:34	9606.ENSP00000377845
9606	CL:34	9606.ENSP00000377699
9606	CL:34	9606.ENSP00000303206
9606	CL:34	9606.ENSP00000363832
9606	CL:34	9606.ENSP00000359049
9606	CL:34	9606.ENSP00000376899
9606	CL:34	9606.ENSP00000352314
9606	CL:34	9606.ENSP00000299088
9606	CL:34	9606.ENSP00000229335
9606	CL:34	9606.ENSP00000364449
9606	CL:34	9606.ENSP00000291552
9606	CL:34	9606.ENSP00000317431
9606	CL:34	9606.ENSP00000443204
9606	CL:34	9606.ENSP00000420612
9606	CL:34	9606.ENSP00000364649
9606	CL:34	9606.ENSP00000466937
9606	CL:34	9606.ENSP00000219334
9606	CL:34	9606.ENSP00000358715
9606	CL:34	9606.ENSP00000496184
9606	CL:34	9606.ENSP00000490086
9606	CL:34	9606.ENSP00000300404
9606	CL:34	9606.ENSP00000485230
9606	CL:34	9606.ENSP00000384369
9606	CL:34	9606.ENSP00000334952
9606	CL:34	9606.ENSP00000418575
9606	CL:34	9606.ENSP00000470478
9606	CL:34	9606.ENSP00000328729
9606	CL:34	9606.ENSP00000333833
9606	CL:34	9606.ENSP00000218230
9606	CL:34	9606.ENSP00000396163
9606	CL:34	9606.ENSP00000362244
9606	CL:34	9606.ENSP00000332900
9606	CL:34	9606.ENSP00000340913
9606	CL:34	9606.ENSP00000307181
9606	CL:34	9606.ENSP00000337335
9606	CL:34	9606.ENSP00000490297
9606	CL:34	9606.ENSP00000258787
9606	CL:34	9606.ENSP00000262288
9606	CL:34	9606.ENSP00000375237
9606	CL:34	9606.ENSP00000451162
9606	CL:34	9606.ENSP00000444339
9606	CL:34	9606.ENSP00000457492
9606	CL:34	9606.ENSP00000321835
9606	CL:34	9606.ENSP00000363317
9606	CL:34	9606.ENSP00000357811
9606	CL:34	9606.ENSP00000359398
9606	CL:34	9606.ENSP00000399679
9606	CL:34	9606.ENSP00000493353
9606	CL:34	9606.ENSP00000306888
9606	CL:34	9606.ENSP00000401470
9606	CL:34	9606.ENSP00000367900
9606	CL:34	9606.ENSP00000296585
9606	CL:34	9606.ENSP00000277216
9606	CL:34	9606.ENSP00000307188
9606	CL:34	9606.ENSP00000306261
9606	CL:34	9606.ENSP00000342262
9606	CL:34	9606.ENSP00000483356
9606	CL:34	9606.ENSP00000386201
9606	CL:34	9606.ENSP00000259357
9606	CL:34	9606.ENSP00000367664
9606	CL:34	9606.ENSP00000420306
9606	CL:34	9606.ENSP00000436126
9606	CL:34	9606.ENSP00000320025
9606	CL:34	9606.ENSP00000225387
9606	CL:34	9606.ENSP00000347710
9606	CL:34	9606.ENSP00000370115
9606	CL:34	9606.ENSP00000366565
9606	CL:34	9606.ENSP00000432973
9606	CL:34	9606.ENSP00000501139
9606	CL:34	9606.ENSP00000359550
9606	CL:34	9606.ENSP00000344562
9606	CL:34	9606.ENSP00000296233
9606	CL:34	9606.ENSP00000252891
9606	CL:34	9606.ENSP00000452401
9606	CL:34	9606.ENSP00000348888
9606	CL:34	9606.ENSP00000402661
9606	CL:34	9606.ENSP00000254624
9606	CL:34	9606.ENSP00000361032
9606	CL:34	9606.ENSP00000287647
9606	CL:34	9606.ENSP00000363840
9606	CL:34	9606.ENSP00000494254
9606	CL:34	9606.ENSP00000289448
9606	CL:34	9606.ENSP00000163416
9606	CL:34	9606.ENSP00000320130
9606	CL:34	9606.ENSP00000490760
9606	CL:34	9606.ENSP00000296097
9606	CL:34	9606.ENSP00000358799
9606	CL:34	9606.ENSP00000413418
9606	CL:34	9606.ENSP00000422896
9606	CL:34	9606.ENSP00000273317
9606	CL:34	9606.ENSP00000268154
9606	CL:34	9606.ENSP00000366275
9606	CL:34	9606.ENSP00000320089
9606	CL:34	9606.ENSP00000464162
9606	CL:34	9606.ENSP00000435634
9606	CL:34	9606.ENSP00000335675
9606	CL:34	9606.ENSP00000357998
9606	CL:34	9606.ENSP00000498499
9606	CL:34	9606.ENSP00000486109
9606	CL:34	9606.ENSP00000356094
9606	CL:34	9606.ENSP00000325065
9606	CL:34	9606.ENSP00000383563
9606	CL:34	9606.ENSP00000266736
9606	CL:34	9606.ENSP00000500633
9606	CL:34	9606.ENSP00000313423
9606	CL:34	9606.ENSP00000386069
9606	CL:34	9606.ENSP00000403042
9606	CL:34	9606.ENSP00000480053
9606	CL:34	9606.ENSP00000250559
9606	CL:34	9606.ENSP00000386348
9606	CL:34	9606.ENSP00000236273
9606	CL:34	9606.ENSP00000325313
9606	CL:34	9606.ENSP00000422907
9606	CL:34	9606.ENSP00000360280
9606	CL:34	9606.ENSP00000358062
9606	CL:34	9606.ENSP00000234160
9606	CL:34	9606.ENSP00000355731
9606	CL:34	9606.ENSP00000361486
9606	CL:34	9606.ENSP00000496129
9606	CL:34	9606.ENSP00000459451
9606	CL:34	9606.ENSP00000306606
9606	CL:34	9606.ENSP00000235372
9606	CL:34	9606.ENSP00000330218
9606	CL:34	9606.ENSP00000243776
9606	CL:34	9606.ENSP00000456401
9606	CL:34	9606.ENSP00000296043
